descripción,institución,autor_destinatario,fecha_original,fecha_completa,fecha_completa,fecha_completa,cantidad,fecha_respuesta,cantidad_r,,,,,,,,,,,,,,,,,,,
,Editorial Universitaria - Universidad del Salvador,José Roberto Cea,26/10/70,,,,1,,,,,,,,,,,,,,,,,,,,,
,Bank of Montreal,I. Hansen,02/06/70,,,,1,10/06/70,1,,,,,,,,,,,,,,,,,,,
"telegrama: 29/05/70, ""Tom and Vall""; ",,Tom Raworth,29/05/70; 09/10/70,,,,2,,,,,,,,,,,,,,,,,,,,,
,Universidad de la Habana,D. Pérez Franco,22/09/70,,,,1,,,,,,,,,,,,,,,,,,,,,
,,Sergio Gómez Montero,24/07/70,,,,1,,,,,,,,,,,,,,,,,,,,,
,Lakehead University,Luis Alfonso Diez,20/07/70; 18/09/70; 17/06/78,,,,3,11/07/70; 30/09/70; 19/08/76; 02/09/78,4,,,,,,,,,,,,,,,,,,,
"postal: 22/07/70; ""ha pasiado"", anti-hiato",,María del Carmen Berny de Pacheco y Laura Emilia Pacheco,22/07/70,,,,1,,,,,,,,,,,,,,,,,,,,,
"Carta con encabezado de Yale, sobre Nepantla, rancho de su hermano; dice que está en Puebla;; doctorado en Princeton en 1953; (Manolo)",Yale University,Manuel Durán,17/07/70; 21/08/70; 27/02/74; 03/11/78,,,,4,09/09/70; 28/04/74,2,,,,,,,,,,,,,,,,,,,
"Recorte de una reseña de ""Persephone"" de Aridjis en Le Nouvel Observateur; (1 sobre) 6 julio 1970 (fecha del recorte); 18 septiembre 1970",,Homero Aridjis,18/09/70,,,,1,,,,,,,,,,,,,,,,,,,,,
,Boston University,Juan Goytisolo,07/10/70,,,,1,22/10/70,1,,,,,,,,,,,,,,,,,,,
,,Samuel Rovinski,09/10/70,,,,1,24/10/70,1,,,,,,,,,,,,,,,,,,,
,,Federico Campbell,25/09/70,,,,1,,,,,,,,,,,,,,,,,,,,,
,Buchholz Libreria Galería,Juan Gustavo Cobo Borda,null,,,,1,,,,,,,,,,,,,,,,,,,,,
,The University of Georgia,Manuel Manten,26/04/76,,,,1,,,,,,,,,,,,,,,,,,,,,
,,Mario Rivero,19/05/76,,,,1,,,,,,,,,,,,,,,,,,,,,
Sobre el golpe a Excélsior; colaborador en el suplemento cultural del diario “La Opinión”,,Andrés y Rita,12/09/76; 24/09/76,,,,2,,,,,,,,,,,,,,,,,,,,,
,Hogar del niño,Joaquín Antonio Peñalosa,11/05/76; 20/10/76,,,,2,07/06/76,1,,,,,,,,,,,,,,,,,,,
"Respuesta: ""Queridos Agnes y Germán""",,Agnes Gullón,14/10/76,,,,1,06/06/76,1,,,,,,,,,,,,,,,,,,,
"Sobre la Revista Interamericana de Bibliografìa; Elena Castedo Ellerman; autora de ""La dramaturgia chilena 1955-1970"" publicada por Harvard en 1976.",,Elena (Castedo),09/09/76,,,,1,,,,,,,,,,,,,,,,,,,,,
"La Palabra y el Hombre, revista",,Mario Muñoz,29/04/76,,,,1,,,,,,,,,,,,,,,,,,,,,
,,Allen W.Phillips,12/04/76,,,,1,,,,,,,,,,,,,,,,,,,,,
El viento distante,Yale University (tachado),José Juan Arrom,07/08/76,,,,1,,,,,,,,,,,,,,,,,,,,,
,University of Essex,Gordon Brotherston,30/04/76,,,,1,,,,,,,,,,,,,,,,,,,,,
,California State University - Los Angeles,Alfonso González,21/05/76,,,,1,,,,,,,,,,,,,,,,,,,,,
,University of Illinois at Urbana-Champaign,Leonor Andrade,13/07/78,,,,1,02/09/78,1,,,,,,,,,,,,,,,,,,,
,University of Illinois at Urbana-Champaign,Antonio Carreño,30/09/78,,,,1,,,,,,,,,,,,,,,,,,,,,
,The Library of Congress,John C. Broderick,28/06/78; 25/05/78; 18/09/78,,,,3,09/06/78; 02/09/78,2,,,,,,,,,,,,,,,,,,,
,Columbia University Press,Nancy Brunson,19/09/78,,,,1,,,,,,,,,,,,,,,,,,,,,
(sobre) ,,Guggenheim Foundation, 29/09/78,,,,1,,,,,,,,,,,,,,,,,,,,,
"Recomendaciones para la 1972 Western Hemisphere Fellowships ; Gastón García Cantú, entre Ripstein, Vicente Rojo, José Miguel Oviedo, Pedro Lastra, Ida Vitale, Juan Gustvo Cobo Borda, Jorge Ayala Blanco, Argelio Gasca, José Agustín, Eduardo Lizalde, Alí Chumacero",Guggenheim Foundation,James F. Mathias,11/03/71; 22/03/71; 06/05/71; 06/10/71; 15/11/78,,,,5,04/03/71; 25/03/71; 02/07/71; 24/11/71; 18/09/78,5,,,,,,,,,,,,,,,,,,,
,Guggenheim Foundation,Mary E. Woodring,17/02/71,,,,1,22/02/71,1,,,,,,,,,,,,,,,,,,,
,,Claude Bernard,28/10/78,,,,1,,,,,,,,,,,,,,,,,,,,,
,Columbia University,Norma Klahn,21/07/78,,,,1,02/09/78,1,,,,,,,,,,,,,,,,,,,
"Agradecimiento por traducción de ""De profundis""; primavera de 1976",,Miguel,1976,,,,1,,,,,,,,,,,,,,,,,,,,,
,Columbia University Press,William F. Bernhardt,04/08/77,,,,1,null,1,,,,,,,,,,,,,,,,,,,
sobre,,Sergio Mondragón,null,,,,1,,,,,,,,,,,,,,,,,,,,,
,Periódico Excélsior,Hero Rodríguez Toro,20/06/72,,,,1,,,,,,,,,,,,,,,,,,,,,
"Diario ""El Día""; dirigida a Cristina ","Diario ""El Día""; a Cristina Pacheco",Antonio Inclán Chávez,05/12/77,,,,1,,,,,,,,,,,,,,,,,,,,,
,Ediciones Grijalbo,Juan Grijalbo,14/11/77,,,,1,,,,,,,,,,,,,,,,,,,,,
Recibo,UNAM,Guillermo Castro Ulloa,24/10/77,,,,1,,,,,,,,,,,,,,,,,,,,,
,Association des Amis de Miguel Ángel Asturias,Amos Segala,08/09/75,,,,1,,,,,,,,,,,,,,,,,,,,,
,Punto de Contacto,Rafael Catalá,10/05/76,,,,1,07/06/76,1,,,,,,,,,,,,,,,,,,,
,Biblioteca Ayacucho,Ángel Rama,16/06/76,,,,1,,,,,,,,,,,,,,,,,,,,,
New Mexico State University,New Mexico State University,Thomas Hoeksema,10/08/78,,,,1,,,,,,,,,,,,,,,,,,,,,
,The Ohio State University,Reynaldo Jiménez,18/07/78,,,,1,02/06/78; 03/09/78,2,,,,,,,,,,,,,,,,,,,
,The Ohio State University,Salvador García,17/07/78,,,,1,,,,,,,,,,,,,,,,,,,,,
,The Ohio State University,Elaine West,12/05/78,,,,1,,,,,,,,,,,,,,,,,,,,,
,The Ohio State University,Robert D. Cotrell,11/04/78,,,,1,28/04/78,1,,,,,,,,,,,,,,,,,,,
,The Ohio State University,Leon I. Twarog,21/08/78,,,,1,,,,,,,,,,,,,,,,,,,,,
,Muchnik Editores,Albert Motos,11/08/78,,,,1,,,,,,,,,,,,,,,,,,,,,
,,Eduardo Mejía,10/78,,,FALSE,1,,,,,,,,,,,,,,,,,,,,,
,The Catholic University of America,Magdalena García Pinto,26/09/78,,,,2,,,,,,,,,,,,,,,,,,,,,
,,Anne Fremantle,15/10/77,,,,1,,,,,,,,,,,,,,,,,,,,,
(Carta en folder 1; mención de Bárbara Aponte),University of Pennsylvania,Olga Connor,24/12/76,,,,1,,,,,,,,,,,,,,,,,,,,,
,,Ulalume González de León,14/01/77,,,,1,,,,,,,,,,,,,,,,,,,,,
,Symposium Mexico Today,Mark B. Lewis,17/11/78,,,,1,,,,,,,,,,,,,,,,,,,,,
,Instituto Nacional de Antropología e Historia,Sonia Lombardo de Ruiz,22/11/79,,,,2,,,,,,,,,,,,,,,,,,,,,
,,Elena Soriano,19/03/76,,,,1,05/06/76,1,,,,,,,,,,,,,,,,,,,
"firma como en: 1293-1, 81",,Magda Graniela Rodríguez,14/11/78,,,,1,,,,,,,,,,,,,,,,,,,,,
Documentos y manuscritos,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,"Lista de pendiendes, junio de 1970",,,,,,,,,,,,,,,,,,,,,,,,,,
,Library of Congress,"""Permission to Reproduce Recorded Material in the Archive of Recorded Poetry and Literature""",,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
